"","Y","Y2","FEM","AGE","EDU"
"344",600,601,0,36,21
"345",87.5,88.5,1,40,14
"346",600,601,0,57,16
"347",800,801,0,44,12
"348",600,601,0,62,16
"349",87.5,88.5,1,45,14
"350",87.5,88.5,1,46,14
"351",500,501,0,29,16
"352",425,426,0,46,16
"353",37.5,38.5,0,42,12
"354",325,326,0,60,12
"355",0,1,1,34,14
"356",225,226,1,43,14
"357",375,376,0,57,12
"358",600,601,0,43,16
"359",425,426,0,24,12
"360",900,901,0,49,16
"361",0,1,1,60,9
"362",275,276,0,30,16
"363",700,701,0,59,16
"364",375,376,0,63,12
"365",1000,1001,0,56,16
"366",0,1,1,60,14
"367",325,326,0,49,12
"368",500,501,0,53,12
"369",87.5,88.5,1,56,12
"370",25,26,1,30,12
"371",0,1,1,40,12
"372",275,276,0,36,12
"373",500,501,0,62,16
"374",37.5,38.5,1,42,14
"375",1500,1501,0,47,16
"376",375,376,0,52,9
"377",500,501,0,39,16
"378",0,1,1,60,12
"379",1000,1001,0,45,14
"380",375,376,1,56,14
"381",87.5,88.5,1,62,12
"382",325,326,1,22,14
"383",800,801,0,51,16
"384",0,1,1,41,16
"385",225,226,0,40,12
"386",112.5,113.5,0,33,12
"387",600,601,0,35,16
"388",425,426,1,47,12
"389",225,226,0,64,9
"390",800,801,0,61,12
"391",25,26,1,29,9
"392",137.5,138.5,0,49,12
"393",425,426,0,50,12
"394",900,901,0,50,16
"395",0,1,1,34,12
"396",600,601,1,46,14
"397",112.5,113.5,1,59,12
"398",0,1,1,59,12
"399",175,176,1,50,12
"400",87.5,88.5,0,58,12
"401",25,26,1,34,9
"402",275,276,1,52,12
"403",500,501,0,39,12
"404",112.5,113.5,1,47,14
"405",112.5,113.5,0,52,9
"406",225,226,0,58,16
"407",3500,3501,0,62,16
"408",275,276,1,32,16
"409",0,1,1,53,12
"410",1100,1101,0,51,18
"411",225,226,0,50,12
"412",37.5,38.5,1,26,12
"413",112.5,113.5,1,62,12
"414",425,426,1,63,12
"415",600,601,1,44,16
"416",175,176,0,46,12
"417",425,426,0,63,12
"418",112.5,113.5,1,40,12
"419",500,501,1,51,16
"420",225,226,1,54,12
"421",225,226,1,42,12
"422",37.5,38.5,1,41,12
"423",0,1,0,47,12
"424",500,501,0,30,16
"425",112.5,113.5,1,51,12
"426",700,701,0,47,12
"427",225,226,0,47,12
"428",62.5,63.5,1,61,14
"429",112.5,113.5,1,54,9
"430",112.5,113.5,1,38,14
"431",87.5,88.5,1,26,12
"432",700,701,1,53,12
"433",700,701,0,39,14
"434",700,701,0,52,18
"435",112.5,113.5,0,47,9
"436",325,326,0,29,18
"437",87.5,88.5,1,55,12
"438",600,601,0,29,12
"439",900,901,0,43,16
"440",0,1,0,63,12
"441",112.5,113.5,1,30,9
"442",425,426,0,57,16
"443",500,501,1,58,16
"444",25,26,1,64,12
"445",175,176,1,32,18
"446",275,276,1,54,12
"447",112.5,113.5,1,48,12
"448",62.5,63.5,1,64,14
"449",137.5,138.5,1,32,16
"450",62.5,63.5,1,47,18
"451",425,426,0,28,16
"452",225,226,1,32,16
"453",500,501,1,43,16
"454",175,176,1,33,12
"455",112.5,113.5,0,63,9
"456",112.5,113.5,0,57,12
"457",62.5,63.5,1,59,14
"458",25,26,0,27,12
"459",425,426,1,43,14
"460",137.5,138.5,1,63,12
"461",37.5,38.5,1,60,12
"462",275,276,1,37,14
"463",500,501,0,55,12
"464",325,326,0,54,16
"465",500,501,0,57,12
"466",0,1,1,52,14
"467",225,226,1,63,9
"468",375,376,1,55,14
"469",0,1,0,38,12
"470",0,1,0,22,12
"471",600,601,0,48,12
"472",375,376,0,50,12
"473",0,1,1,55,16
"474",0,1,1,36,12
"475",175,176,0,61,12
"476",112.5,113.5,0,23,16
"477",800,801,0,44,16
"478",62.5,63.5,1,63,14
"479",0,1,1,36,16
"480",1000,1001,0,41,16
"481",800,801,1,64,16
"482",25,26,1,56,12
"483",225,226,1,32,12
"484",500,501,0,31,9
"485",325,326,0,39,16
"486",0,1,1,38,14
"487",137.5,138.5,1,64,9
"488",800,801,1,45,12
"489",600,601,0,41,16
"490",325,326,1,53,12
"491",112.5,113.5,0,43,9
"492",500,501,1,54,12
